character,x,y,meaning,pinying
冒,-80.46475355,52.66569316,to emit,mao4
写,19.13699982,10.22458724,to write,xie3
军,55.24077334,1.050285206,army,jun1
农,-6.731172151,18.03961435,variant of 農|农[nong2],nong2
冠,42.82223054,-7.332206729,to put on a hat,guan4
冤,32.46857272,13.1223901,old variant of 冤[yuan1],yuan1
冬,-29.60942936,-4.284558174,(onom.) beating a drum,dong1
冯,35.38649211,-6.023185873,to gallop,ping2
冰,-10.36914153,-24.42778302,variant of 冰[bing1],bing1
冲,3.028480215,-28.53382655,powerful,chong4
决,11.47556796,-31.12916053,to decide,jue2
况,29.35166512,-17.55300135,moreover,kuang4
冶,-33.44872996,-26.4200274,to smelt,ye3
冷,-44.27445881,-33.60971684,cold,leng3
冻,-28.43129614,-8.920183071,to freeze,dong4
净,-44.0828049,-30.90447993,clean,jing4
凄,-82.06538,20.39810818,intense cold,qi1
准,4.872954636,-87.66177779,accurate,zhun3
凉,-41.75394475,-28.91663358,to let sth cool down,liang4
凌,-52.02700939,37.13365722,to approach,ling2
减,-16.10137616,33.38864706,to lower,jian3
凑,-70.01924477,-32.34776251,"to gather together, pool or collect",cou4
凛,-45.32101948,57.67737958,cold,lin3
凝,52.64832136,39.88002957,to congeal,ning2
几,35.65051497,-18.878674,how much,ji3
凡,36.0496777,-18.58971706,variant of 凡[fan2],fan2
凤,46.79856004,-3.65541873,phoenix,feng4
凭,-34.23611403,24.55838487,to lean against,ping2
凯,10.98926892,36.7244418,triumphant,kai3
凳,-18.20682589,52.98224579,variant of 凳[deng4],deng4
凶,82.82727887,48.49607468,vicious,xiong1
出,-35.83085922,13.53960638,variant of 出[chu1] (classifier for plays or chapters of classical novels),chu1
击,-35.34200809,10.93633427,to hit,ji1
函,82.66470342,47.18145544,variant of 函[han2],han2
刀,67.8087823,26.24386581,knife,dao1
刃,67.79027565,26.18883207,edge of blade,ren4
分,0.494761282,8.14545739,part,fen4
切,62.19187468,-19.61609873,definitely,qie4
刊,84.07955257,8.799102231,old variant of 刊[kan1],kan1
刑,88.66442182,0.763508617,punishment,xing2
划,88.61838327,9.550553355,to delimit,hua4
列,84.67834323,11.64750772,to arrange,lie4
刘,87.34403116,9.413855497,surname Liu,Liu2
则,87.22037249,13.3244272,(conjunction used to express contrast with a previous clause) but,ze2
刚,55.82654387,77.47185466,hard,gang1
创,90.08999462,9.323608493,to begin,chuang4
初,74.22883105,17.31017035,at first,chu1
判,86.91408526,7.700932415,to judge,pan4
利,83.50623437,9.155024994,sharp,li4
别,90.47423646,13.18633811,"to make sb change their ways, opinions etc",bie4
刮,88.68746964,12.1969251,to blow (of the wind),gua1
到,88.64875556,11.47994465,to (a place),dao4
制,93.87230388,8.300611231,to manufacture,zhi4
刷,89.72690522,19.95633016,to select,shua4
券,-72.65992416,20.74896464,variant of 券[quan4],quan4
刹,91.31110707,9.427258561,to brake,sha1
刺,91.65372996,6.630728148,thorn,ci4
刻,88.57612244,7.620930816,quarter (hour),ke4
剂,89.91191541,7.457427178,dose (medicine),ji4
削,90.64697454,11.50483138,to pare,xue1
前,-0.116515029,24.32198412,front,qian2
剑,90.14482317,9.985424658,variant of 劍|剑[jian4],jian4
剖,88.52478748,6.961559178,to cut open,pou1
剥,95.02598355,8.761139871,to peel,bo1
剧,89.74143616,19.99567325,"theatrical work (play, opera, TV series etc)",ju4
剩,95.69372687,8.766257423,to remain,sheng4
剪,-53.12869822,-23.495846,scissors,jian3
副,91.23293559,13.94491976,secondary,fu4
割,92.58737466,6.955812426,to cut,ge1
劈,-13.7971083,39.61844136,to split in two,pi3
力,-17.00450745,7.866062964,power,li4
劝,77.62002585,16.38622538,to advise,quan4
办,-7.211473496,-4.632264204,to do,ban4
功,77.60896363,16.38656691,meritorious deed or service,gong1
加,69.54322377,15.2610109,to add,jia1
务,-15.8669436,-6.164558407,affair,wu4
劣,-15.859433,2.283154528,inferior,lie4
动,80.26903462,13.67874041,(of sth) to move,dong4
助,83.16284666,13.94302178,to help,zhu4
努,-16.34763092,1.528712175,to exert,nu3
劫,86.6678234,9.776551499,to rob,jie2
励,43.29523779,61.01862679,to encourage,li4
劲,84.34618643,12.32379948,stalwart,jing4
劳,-39.47833687,-10.64588587,to console,lao4
势,-47.98668888,1.326247363,power,shi4
勃,91.43791894,5.605527338,flourishing,bo2
勇,42.01712908,27.90516604,brave,yong3
勉,38.31251659,39.89587504,to exhort,mian3
勒,81.00170934,19.46420276,to strap tightly,lei1
募,-40.15472857,61.70193553,canvass for contributions,mu4
勤,93.39240548,12.77410669,variant of 勤[qin2],qin2
勾,29.83875204,-10.65210128,see 勾當|勾当[gou4 dang4],gou4
勿,27.68642835,-10.45044593,do not,wu4
匀,32.33076423,-10.72672357,even,yun2
包,-28.86570725,-28.26047994,to cover,bao1
匆,29.6450354,-10.34374853,variant of 匆[cong1],cong1
化,-27.4335304,14.52116767,to make into,hua4
北,9.057926874,8.534009922,north,bei3
匙,27.64263154,28.7349233,spoon,chi2
