character,x,y
圾,52.2019619,-49.08431006
址,38.03100048,-39.87769216
均,33.25157253,-11.49325581
坊,17.07300954,-45.14214403
坎,10.74169678,-35.84273795
坏,50.03470944,-26.25031823
坐,5.726413471,-11.38154601
坑,27.6894976,-51.05303691
块,11.39374827,-31.86385299
坚,28.35729881,23.318364
坛,19.68451603,-11.86423482
坝,62.32916645,-19.84453855
坟,15.03548951,-35.3828746
坠,28.00711213,23.1848024
坡,16.90530254,-71.7377438
坦,62.59606876,-39.3028365
坪,49.64363898,-25.85573941
垂,27.052367,18.41055195
垄,-48.99599278,-20.30401979
型,26.92235005,22.48431331
垒,12.854219,-5.202596698
垮,-36.30040521,-67.83548573
埃,17.26202963,-60.67085975
埋,61.22271185,-33.21428098
城,-18.43309269,32.9663645
域,-18.08103232,32.96387673
培,-25.43255501,-53.58563252
基,-57.24060403,34.31765707
堂,11.90083873,-5.246685981
堆,40.29894911,-51.92247251
堕,16.51842636,83.46795651
堡,14.21816154,-8.300290712
堤,62.12185436,-32.57384682
堪,-76.29282811,-23.13493916
堵,-30.54959234,-48.4373335
塌,60.20119618,-16.36453839
塑,-34.49898868,51.72897452
塔,-35.44802187,-43.68679715
塘,-57.05595568,-51.70091744
塞,-89.31070575,-7.447934753
填,-52.6315814,-76.2459384
境,-72.97707252,-24.04359726
墓,-65.73806795,57.99458999
墙,-52.02906226,-55.87424951
增,-18.5130337,-68.03380787
墨,-28.13400011,79.64053048
壁,-35.25396787,49.86580193
壤,-41.58657521,65.68526839
士,6.557294673,-7.952404615
壮,18.85070906,62.84342776
声,-87.82860183,-20.39953679
壳,-79.65518987,19.99458768
壶,-85.24695391,-17.77808987
处,1.156151061,13.55188947
备,-65.26898958,-21.88603709
复,-81.05120525,20.24269131
夏,-24.48145366,72.41957904
夕,-28.55453384,-4.261690489
外,17.22768902,22.82652182
多,-53.92791228,-3.671731712
夜,-78.90211039,-8.788400536
够,-22.32703276,45.83951289
大,-8.212628628,6.602132705
天,36.31605126,3.744945438
太,-8.295568749,6.636215755
夫,-10.42121421,13.50628078
央,-14.30667461,9.932698606
失,-15.94583616,8.8699488
头,-13.05669736,1.405666949
夷,-84.61605084,-16.35546837
夸,-35.55903336,-13.9635785
夹,-13.45497122,9.642198376
夺,-31.15046513,-4.918587102
奇,-83.22875791,-29.34836945
奈,-84.9524673,0.421302743
奉,-72.82507405,16.74772677
奋,-41.73275657,22.18980754
奎,-56.49206541,-4.956990894
奏,-78.81393246,16.16083034
契,-63.4308397,25.56197232
奔,-71.81178724,-9.636702724
奖,-52.33976025,4.511631978
套,-69.65628177,-20.54424979
奠,-94.91166104,6.224608368
奥,-73.25078748,40.49597903
女,-6.126840792,0.516645728
奴,29.12817094,38.47381289
奶,32.56001337,35.3610492
奸,28.62512552,44.72091998
她,33.77713155,41.0870195
好,28.7862737,44.30913845
如,70.38213486,18.88857703
妄,-35.77833524,-12.70504362
妆,5.75991249,37.17639966
妇,84.29807718,29.3485913
妈,33.058182,-3.058070406
妓,31.65004763,39.05355579
妖,31.13625576,39.63963962
妙,32.26282441,40.04460323
妥,22.21850154,14.06873804
妨,31.89539641,37.50161482
妮,44.80968633,53.92907755
妹,29.00860697,68.48924966
妻,-71.4117027,52.24389367
姆,46.03069404,53.10195719
姊,30.50373489,41.69159209
始,34.6701681,36.56170271
姐,64.74391135,-63.52534702
姑,33.88883215,38.08937267
姓,33.47478555,41.34730655
委,51.46132908,36.75926922
姚,39.06087636,53.18075844
姜,-52.62384753,28.78797877
姥,33.70538988,45.42249097
姨,-45.49965516,36.47095256
姬,44.76190349,52.80847165
姻,50.49895218,51.07504245
姿,-81.24004773,-5.387429623
威,-16.0639036,32.71053377
娃,33.34410984,45.13460484
娇,26.86590066,37.14473542
娘,37.27633367,46.56690165
娜,40.49857294,53.56875279
娱,47.17889226,52.96860145
娶,-24.52297435,50.03416925
婆,-66.54433436,48.50635788
婉,37.8568286,49.96848929
婚,49.71075123,48.16884672
婴,50.68929743,37.62930147
婿,44.15814564,49.79644669
媒,-46.15713795,14.52359826
媚,50.59584274,51.16915255
媳,37.15856482,47.69882797
嫁,37.82470838,49.91900646
嫂,49.69155658,48.2367909
嫌,41.15827227,49.87627369
嫣,44.09787345,49.68814263
嫩,-9.967228584,37.35152703
子,34.65186323,8.770002865
孔,11.98133917,10.82214674
孕,-55.83598219,21.92054176
字,-40.30295062,-18.31976116
存,-37.84753196,-18.2406243
孙,28.45694925,-30.01096169
孝,-57.43877366,-26.42304799
孟,64.39506932,-7.422533037
季,-29.60449146,20.87755121
孤,33.78276722,-64.81309905
学,-31.04649517,16.48527224
孩,-49.97738915,-61.62417886
宁,-30.6610449,2.699945222
它,-33.62754047,-5.347888105
宅,-41.07591002,-16.44952081
宇,-40.99122113,-17.58486741
守,-30.79439306,0.783238426
安,-31.8760902,0.082774095
宋,-33.94939749,6.026435498
完,-41.97027003,-27.77140135
宏,-24.47918138,-7.753337443
宗,-41.2028339,2.815211763
官,-38.60755859,-41.54520416
宙,-94.47818203,-21.41046618
定,-42.12286839,-17.57083729
宛,-76.040483,-3.598451261
宜,-48.78003568,-22.62984931
宝,-42.89575912,-16.87685992
实,-33.3857502,-0.973417935
宠,-76.08715596,-2.533781676
审,-61.28059602,-12.50949207
客,-96.09040655,-16.0719495
宣,-96.22439484,-5.789450662
室,-48.88914687,-21.20947607
宪,-43.67103689,-12.41271177
宫,-92.50690611,-16.10758189
宰,-57.82315827,-12.24712394
害,-89.13077911,-0.891077752
宴,-81.45964633,21.21738594
宵,-83.13663981,-25.1723833
家,-76.56559496,-18.13458138
容,-96.47268042,-16.24527837
宽,-78.84395519,-28.30247804
宾,-79.01947238,-15.09059161
宿,-55.49805694,40.68847277
寂,-62.89792009,-0.518142651
寄,-53.5205991,49.47191131
密,-68.6560634,48.27067258
富,-69.15046599,55.68622425
寒,-64.47099675,35.14140265
寓,-60.06720783,55.63873924
寞,-66.50837778,52.38386106
察,-58.46307581,50.52508626
寡,-46.89749408,59.96785313
寥,-46.36634102,59.39161355
寨,-59.20030411,52.19767773
寸,-5.191132715,1.45287566
对,13.53365519,32.21400515
寺,-37.46380118,-14.23554227
寻,43.23431319,13.79879792
导,55.83009861,33.80423645
寿,-86.83927479,-21.32642724
封,9.795708998,31.46745738
射,12.42015729,33.17656337
将,10.94627038,26.81105874
尊,-82.60534893,12.43015728
小,-23.9084278,14.07349143
少,-19.58493925,11.5301688
尔,-21.84267295,13.04496585
尖,-13.66422761,6.381915438
尘,5.786197041,-11.34163834
尚,17.26149101,14.40775737
尝,-41.77331835,-51.07685407
尤,-8.483203026,3.742897991
就,-2.72829619,47.76903889
尸,41.37085638,1.411590888
尹,58.29200355,5.865088688
尺,38.82667248,1.282578439
尼,58.01394769,-4.039818765
尽,56.41741346,-0.509976213
尾,46.69769687,23.24792464
尿,58.67900872,21.97036866
局,61.58569416,21.41601069
屁,61.02893151,21.38314456
层,47.37745289,24.8523891
居,59.34923059,25.35659789
屈,60.12337408,21.47857663
届,58.18064931,27.37937734
屋,46.86699643,23.7500398
屏,42.59413479,28.11542394
屑,43.15788499,28.07268906
展,49.01209064,24.01529506
属,-41.69709382,58.66066491
屠,-79.2956011,53.53333976
履,-43.95067533,57.44148176
屯,-43.09511475,-15.08568759
山,-35.90600263,13.73149325
岁,-25.10913775,2.513108925
岂,-27.90554774,26.5203336
岗,17.38264867,14.28635644
岛,-69.84280923,-3.976695273
岩,-28.16797361,25.66627751
岭,6.999873015,46.28248706
岳,20.03679689,-41.57145285
岸,15.59521652,15.60230372
峡,8.835296168,45.86452838
峰,19.59261113,-18.59633325
峻,6.662159791,45.18552856
崇,-54.81428632,23.50239394
崔,11.5839128,-6.260529856
崖,-33.00260212,49.35776836
崭,-4.370824155,21.62000654
嵌,-5.637612734,31.47161368
嵩,-19.74181082,86.4134729
川,-23.35969205,14.93419785
州,70.03883276,18.68080855
巡,30.88491034,-101.8758863
工,21.78883644,-1.541202885
左,5.216374947,-16.78443159
巧,47.78171195,-33.72682919
巨,64.38036936,-7.421522716
巩,24.23110215,-44.84694851
差,-12.26659576,-11.80362983
己,37.50724748,20.89177632
已,24.13880482,-3.413592653
巴,33.50116765,21.30372299
巷,-35.25244296,-15.10629507
巾,-20.81709711,14.76355446
币,-3.886959293,-7.265356467
市,-33.49528563,11.59972842
布,-33.23969992,-4.041777801
帅,42.06906413,61.43040347
师,21.21078011,21.20574348
希,1.196806854,46.90016202
帐,21.64075374,41.6158573
帕,75.1813515,-52.13563172
帘,-61.51348076,-11.2562533
帜,32.51753035,-38.80821038
帝,-63.67202306,-15.39496967
带,-72.38945166,13.45185868
席,-78.38999156,7.152284888
帮,-51.46079413,16.37818346
常,-61.12816343,60.33912034
帽,73.04405999,-33.31858443
幅,70.96957211,-32.47631068
幕,-52.84117153,75.4902696
幢,-58.22533695,-64.88573395
干,37.1462041,9.801505934
平,40.43132546,9.794024606
年,-34.86576361,4.254726927
并,-4.054660725,-0.752164928
幸,-59.03998019,-13.33223715
幻,72.7659913,24.72408909
幼,78.92744378,13.20289658
幽,84.48026591,48.89547681
广,-26.14552006,-4.040463885
庄,-84.99609565,9.108089038
庆,-24.60788364,-3.861766518
床,-73.59018893,1.540243184
序,-66.35285416,32.80050745
庐,-88.10850374,-20.24086908
库,-54.49042591,-16.30191836
应,-47.36031691,-18.31033905
底,-84.10468061,8.929170734
店,-80.72046517,-45.37066352
庙,-41.98904976,10.27181933
府,-72.99709104,-0.822016169
庞,-74.10029984,2.241590274
废,-74.3760937,2.739914546
度,-82.80330786,7.078277722
座,-47.57920081,-18.58226676
庭,-83.78589022,9.585972323
康,-67.81087245,31.88405706
庸,-79.93084379,1.985322744
廉,-65.81174162,61.8882769
廊,-79.84918436,0.298886564
延,40.66788142,-93.12762958
廷,40.63331229,-93.16385141
建,-66.83752244,-65.16407402
廿,-11.42084507,-3.005957551
开,-1.195480959,4.854917945
异,51.31626084,30.94604701
弃,-31.7660315,-2.578203123
弄,51.06213996,30.31266514
弊,-20.85486031,38.14857417
式,3.236570232,0.655728978
弓,59.4249506,6.531708883
引,55.42088565,4.351343668
弗,-38.62976155,-13.54108984
弟,-55.68734255,17.29776082
张,18.4172823,58.10549147
弥,15.42461897,20.57040025
弦,23.34480176,72.68326136
弯,-70.98420787,49.22054014
弱,65.08892178,36.2652947
弹,15.74537585,18.72263748
强,45.54153668,32.94467565
归,84.29124598,29.35593385
当,-28.39917203,25.00553011
录,38.96896926,12.14162814
形,43.73786973,8.977792176
彦,-59.08884586,0.177489102
彩,-17.39512314,40.80491881
彪,-9.734609832,51.50673905
彬,-23.40855886,6.63796499
彭,-76.50759708,-13.01461414
彰,-16.20584326,40.67093624
影,-17.88547069,41.68873486
役,49.12367467,-49.56255025
